seed,split,model,graph,episode,auroc,auprc,pos_frac
1,random,gat,knn,2016-06,0.7813551265174784,0.8119157981789784,0.548936170212766
1,random,gat,knn,2016-09,0.7738860514265586,0.6045836316425528,0.28936170212765955
1,random,gat,knn,2018-02,0.7131053351573188,0.7363167027807161,0.5425531914893617
1,random,gat,empty,2015-08,0.7155831329440054,0.8392828988652516,0.6978723404255319
1,random,gat,empty,2016-06,0.8036236653502997,0.8180573722463882,0.548936170212766
1,random,gat,empty,2016-09,0.7744584360690384,0.6370613299698537,0.28936170212765955
1,random,gat,empty,2018-02,0.7325672594619244,0.7553743667173132,0.5425531914893617
1,random,mlp,-,2015-08,0.6987933699759532,0.8215432027344437,0.6978723404255319
1,random,mlp,-,2016-06,0.7951221295890012,0.8243022342020923,0.548936170212766
1,random,mlp,-,2016-09,0.7702756252201479,0.6230949970992502,0.28936170212765955
1,random,mlp,-,2018-02,0.7466849065207479,0.7579396640338447,0.5425531914893617
1,random,lr,-,2015-08,0.7224750944692545,0.824565104036782,0.6978723404255319
1,random,lr,-,2016-06,0.7850299839110721,0.7901872135234547,0.548936170212766
1,random,lr,-,2016-09,0.7745464952448045,0.6119476566733901,0.28936170212765955
1,random,lr,-,2018-02,0.7451345189238486,0.7310994250506986,0.5425531914893617
1,sector,gat,sector,2015-08,0.5720220714531089,0.7408081367063677,0.6978723404255319
1,sector,gat,sector,2016-06,0.6692354102676612,0.6549447219925292,0.548936170212766
1,sector,gat,sector,2016-09,0.7785862099330751,0.6266508092016996,0.28936170212765955
1,sector,gat,sector,2018-02,0.6098221614227086,0.6366885615926604,0.5425531914893617
1,sector,gat,functional,2015-08,0.5600309172105805,0.7538693372156623,0.6978723404255319
1,sector,gat,functional,2016-06,0.7631088196577446,0.7364882936495606,0.548936170212766
1,sector,gat,functional,2016-09,0.6895473758365622,0.5441618915510318,0.28936170212765955
1,sector,gat,functional,2018-02,0.6474601003191975,0.6664925603141547,0.5425531914893617
1,sector,gat,knn,2015-08,0.7187822054276881,0.8441914497767158,0.6978723404255319
1,sector,gat,knn,2016-06,0.7802764370337867,0.8124682733290088,0.548936170212766
1,sector,gat,knn,2016-09,0.6590348714336034,0.4256693331189202,0.28936170212765955
1,sector,gat,knn,2018-02,0.6963246694026447,0.7304136957284045,0.5425531914893617
1,sector,gat,empty,2015-08,0.703817416695294,0.8325953238513574,0.6978723404255319
1,sector,gat,empty,2016-06,0.7995648676320023,0.8032580267148138,0.548936170212766
1,sector,gat,empty,2016-09,0.6607079957731598,0.43817855756813673,0.28936170212765955
1,sector,gat,empty,2018-02,0.7245052439580483,0.7439538579293029,0.5425531914893617
1,sector,mlp,-,2015-08,0.7045796118172449,0.8396752234689198,0.6978723404255319
1,sector,mlp,-,2016-06,0.7782653210472429,0.8063794397603397,0.548936170212766
1,sector,mlp,-,2016-09,0.6584184572032405,0.4056225842770311,0.28936170212765955
1,sector,mlp,-,2018-02,0.7317099863201094,0.7521401301209525,0.5425531914893617
1,sector,lr,-,2015-08,0.7144881484026107,0.8267465373278297,0.6978723404255319
1,sector,lr,-,2016-06,0.7716286382916482,0.7607438419455907,0.548936170212766
1,sector,lr,-,2016-09,0.6701083127861923,0.43676969458100523,0.28936170212765955
1,sector,lr,-,2018-02,0.6991518467852257,0.6931116026996057,0.5425531914893617
1,loeo,gat,sector,2015-08,0.5905509275163174,0.7767588227816158,0.6978723404255319
1,loeo,gat,sector,2016-06,0.5569328652917946,0.5967601597936117,0.548936170212766
1,loeo,gat,sector,2016-09,0.28620332863684395,0.2191451743321755,0.28936170212765955
1,loeo,gat,sector,2018-02,0.5969174646602827,0.624141966836601,0.5425531914893617
1,loeo,gat,functional,2015-08,0.5153297835795259,0.7177519444568435,0.6978723404255319
1,loeo,gat,functional,2016-06,0.45383574667251725,0.48378993349599286,0.548936170212766
1,loeo,gat,functional,2016-09,0.3810540683339204,0.26337949300077906,0.28936170212765955
1,loeo,gat,functional,2018-02,0.6060191518467852,0.6393505157504881,0.5425531914893617
1,loeo,gat,knn,2015-08,0.5942974922706974,0.7722697825584663,0.6978723404255319
1,loeo,gat,knn,2016-06,0.5612567646628638,0.5836120282996904,0.548936170212766
1,loeo,gat,knn,2016-09,0.4304112363508278,0.27839081768528684,0.28936170212765955
1,loeo,gat,knn,2018-02,0.6460191518467852,0.6494083743250135,0.5425531914893617
1,loeo,gat,empty,2015-08,0.6495190656131913,0.802670741698299,0.6978723404255319
1,loeo,gat,empty,2016-06,0.519142167617376,0.5487264554253655,0.548936170212766
1,loeo,gat,empty,2016-09,0.4666696019725256,0.30754080633953906,0.28936170212765955
1,loeo,gat,empty,2018-02,0.7030916552667579,0.7292172018526655,0.5425531914893617
1,loeo,mlp,-,2015-08,0.6731363792511165,0.8232781038404327,0.6978723404255319
1,loeo,mlp,-,2016-06,0.5549217493052508,0.5629548962991482,0.548936170212766
1,loeo,mlp,-,2016-09,0.46244276153575203,0.3079796821417137,0.28936170212765955
1,loeo,mlp,-,2018-02,0.650360237118103,0.663042737192859,0.5425531914893617
1,loeo,lr,-,2015-08,0.6991368945379595,0.8340004955008108,0.6978723404255319
1,loeo,lr,-,2016-06,0.5488152698551996,0.5864335528701874,0.548936170212766
1,loeo,lr,-,2016-09,0.46589908418457204,0.29888008092867624,0.28936170212765955
1,loeo,lr,-,2018-02,0.641860465116279,0.6422092485515871,0.5425531914893617
2,random,gat,sector,2015-08,0.7459528512538647,0.8642165545869276,0.6978723404255319
2,random,gat,sector,2016-06,0.753875968992248,0.7691292694447724,0.548936170212766
2,random,gat,sector,2016-09,0.8109039274392392,0.705231152813435,0.28936170212765955
2,random,gat,sector,2018-02,0.6767624259005928,0.6974390833444695,0.5425531914893617
2,random,gat,functional,2015-08,0.6929105118515974,0.8154925644034154,0.6978723404255319
2,random,gat,functional,2016-06,0.8130576276144508,0.8308619560790171,0.548936170212766
2,random,gat,functional,2016-09,0.7544910179640718,0.6387003899146787,0.28936170212765955
2,random,gat,functional,2018-02,0.7248335613315093,0.7529988025188008,0.5425531914893617
2,random,gat,knn,2015-08,0.7363663689453797,0.8490177611855864,0.6978723404255319
2,random,gat,knn,2016-06,0.7848471551850227,0.8048147864935993,0.548936170212766
2,random,gat,knn,2016-09,0.7485690383938005,0.5857705591454778,0.28936170212765955
2,random,gat,knn,2018-02,0.7175376196990424,0.7300389096716766,0.5425531914893617
2,random,gat,empty,2015-08,0.7418627619374786,0.864177422027431,0.6978723404255319
2,random,gat,empty,2016-06,0.8011737604212374,0.8180130517349036,0.548936170212766
2,random,gat,empty,2016-09,0.7540507220852413,0.5889410457347258,0.28936170212765955
2,random,gat,empty,2018-02,0.7530323757409941,0.7561038505359468,0.5425531914893617
2,random,mlp,-,2015-08,0.7190183785640673,0.8435560598016868,0.6978723404255319
2,random,mlp,-,2016-06,0.7934766710545562,0.8242436184956758,0.548936170212766
2,random,mlp,-,2016-09,0.7477544910179641,0.5749201169460625,0.28936170212765955
2,random,mlp,-,2018-02,0.7642498860009121,0.7785081299849113,0.5425531914893617
2,random,lr,-,2015-08,0.7342622810030917,0.839539943639873,0.6978723404255319
2,random,lr,-,2016-06,0.7836039198478866,0.8010857229536088,0.548936170212766
2,random,lr,-,2016-09,0.7568025713279324,0.5900819997953879,0.28936170212765955
2,random,lr,-,2018-02,0.758139534883721,0.7436585118699414,0.5425531914893617
2,sector,gat,sector,2015-08,0.5488126932325662,0.7548455967037878,0.6978723404255319
2,sector,gat,sector,2016-06,0.7072089366681292,0.6851543222722238,0.548936170212766
2,sector,gat,sector,2016-09,0.7650471116590348,0.5695864295647588,0.28936170212765955
2,sector,gat,sector,2018-02,0.5909347925216598,0.6231162057985884,0.5425531914893617
2,sector,gat,functional,2015-08,0.5898102026794916,0.7758697632285153,0.6978723404255319
2,sector,gat,functional,2016-06,0.7700563112476233,0.7810450807956246,0.548936170212766
2,sector,gat,functional,2016-09,0.7239564987671715,0.5846714510624164,0.28936170212765955
2,sector,gat,functional,2018-02,0.636169630642955,0.6459301994129596,0.5425531914893617
2,sector,gat,knn,2015-08,0.7125772930264513,0.8458849918193048,0.6978723404255319
2,sector,gat,knn,2016-06,0.781830481205207,0.8004641682835587,0.548936170212766
2,sector,gat,knn,2016-09,0.6493483620993308,0.4242514520622717,0.28936170212765955
2,sector,gat,knn,2018-02,0.6963976288189695,0.7283060113105004,0.5425531914893617
2,sector,gat,empty,2015-08,0.7056853315012023,0.8422502860712338,0.6978723404255319
2,sector,gat,empty,2016-06,0.8085600409536347,0.8189811903968414,0.548936170212766
